id,timestamp,length,recieved,completed
R167:36388.623428,0.027195,36388.708273,36388.737117,36388.764313
R168:36388.672401,0.071692,36388.827528,36388.764328,36388.836020
R169:36388.708235,0.019975,36388.827528,36388.836037,36388.856014
R170:36388.775305,0.005021,36388.856291,36388.856029,36388.861051
R171:36388.787033,0.069458,36388.896131,36388.861065,36388.930524
R172:36388.795198,0.022670,36388.896131,36388.930541,36388.953213
R173:36388.827492,0.006372,36388.958720,36388.953253,36388.959625
R174:36388.856266,0.181708,36389.083290,36388.959641,36389.141350
R175:36388.896101,0.020568,36389.083290,36389.141374,36389.161943
R176:36388.958696,0.095637,36389.236590,36389.161957,36389.257595
R177:36389.035510,0.011407,36389.236590,36389.257613,36389.269021
R178:36389.083264,0.065507,36389.288702,36389.269034,36389.334542
R179:36389.236558,0.015533,36389.346966,36389.334557,36389.350091
R180:36389.288665,0.037032,36389.346966,36389.350106,36389.387138
R181:36389.346932,0.033434,36389.493548,36389.473529,36389.506964
R182:36389.473492,0.026303,36389.493548,36389.506986,36389.533290
R183:36389.493524,0.067861,36389.586925,36389.586946,36389.654809
R184:36389.586894,0.027524,36389.886211,36389.886223,36389.913748
R185:36389.886156,0.009751,36390.048964,36390.048974,36390.058726
R186:36390.048932,0.000362,36390.086774,36390.086782,36390.087145
R187:36390.086737,0.099262,36390.220869,36390.196027,36390.295290
R188:36390.195983,0.008119,36390.220869,36390.295315,36390.303436
R189:36390.220835,0.085104,36390.367821,36390.364215,36390.449320
R190:36390.364168,0.039747,36390.367821,36390.449344,36390.489093
R191:36390.367790,0.082046,36390.692119,36390.675192,36390.757240
R192:36390.675136,0.042817,36390.692119,36390.757267,36390.800085
R193:36390.692082,0.006575,36390.835268,36390.835277,36390.841853
R194:36390.835227,0.032181,36390.868435,36390.842768,36390.874950
R195:36390.842733,0.071358,36390.868435,36390.874965,36390.946324
R196:36390.868402,0.009415,36390.990516,36390.986742,36390.996158
R197:36390.986702,0.003660,36390.990516,36390.996185,36390.999846
R198:36390.990498,0.101206,36391.127496,36391.034266,36391.135472
R199:36391.034223,0.038960,36391.127496,36391.135500,36391.174461
R200:36391.118376,0.059381,36391.189246,36391.174480,36391.233861
R201:36391.127464,0.050321,36391.279764,36391.233880,36391.284202
R202:36391.189212,0.029952,36391.279764,36391.284217,36391.314170
R203:36391.253799,0.146382,36391.393246,36391.314183,36391.460567
R204:36391.279731,0.012408,36391.462200,36391.460584,36391.472992
R205:36391.325985,0.049734,36391.486428,36391.473008,36391.522743
R206:36391.393212,0.060455,36391.486428,36391.522765,36391.583220
R207:36391.462168,0.118055,36391.670269,36391.583236,36391.701293
R208:36391.481194,0.006938,36391.670269,36391.701319,36391.708257
R209:36391.486399,0.012394,36391.717239,36391.708277,36391.720672
R210:36391.670230,0.017035,36391.717239,36391.720688,36391.737724
R211:36391.717200,0.022911,36391.842489,36391.842500,36391.865411
R212:36391.842442,0.140401,36392.002387,36391.874079,36392.014481
R213:36391.874028,0.112460,36392.123073,36392.014505,36392.126966
R214:36391.904183,0.002467,36392.123073,36392.126987,36392.129455
R215:36391.981079,0.100416,36392.123073,36392.129474,36392.229891
R216:36392.002359,0.120568,36392.348226,36392.229910,36392.350479
R217:36392.072621,0.016650,36392.348226,36392.350497,36392.367149
R218:36392.098950,0.063193,36392.406138,36392.367162,36392.430356
R219:36392.114727,0.074848,36392.487931,36392.430380,36392.505229
R220:36392.123043,0.084736,36392.545352,36392.505250,36392.589987
R221:36392.231946,0.034187,36392.545352,36392.590009,36392.624197
R222:36392.247931,0.037945,36392.628102,36392.624218,36392.662163
R223:36392.275038,0.032490,36392.628102,36392.662183,36392.694674
R224:36392.293816,0.011206,36392.628102,36392.694754,36392.705961
R225:36392.348193,0.000979,36392.628102,36392.705980,36392.706960
R226:36392.406106,0.032102,36392.713615,36392.706974,36392.739077
R227:36392.440291,0.089144,36392.787785,36392.739093,36392.828237
R228:36392.466335,0.069923,36392.842183,36392.828257,36392.898181
R229:36392.487900,0.168042,36392.995366,36392.898206,36393.066248
R230:36392.545318,0.110640,36393.142462,36393.066268,36393.176909
R231:36392.628072,0.024926,36393.142462,36393.176933,36393.201859
R232:36392.713579,0.000402,36393.142462,36393.201876,36393.202278
R233:36392.787750,0.123821,36393.254666,36393.202291,36393.326113
R234:36392.842147,0.068611,36393.345066,36393.326132,36393.394744
R235:36392.910984,0.034134,36393.423697,36393.394767,36393.428901
R236:36392.963208,0.084595,36393.499377,36393.428918,36393.513514
R237:36392.995342,0.075508,36393.499377,36393.513534,36393.589043
R238:36393.110997,0.002230,36393.499377,36393.589063,36393.591293
R239:36393.122869,0.077165,36393.666112,36393.591306,36393.668472
R240:36393.127575,0.064323,36393.666112,36393.668494,36393.732818
R241:36393.142429,0.055929,36393.666112,36393.732838,36393.788768
R242:36393.228512,0.000382,36393.666112,36393.788785,36393.789167
R243:36393.228609,0.020215,36393.792259,36393.789181,36393.809397
R244:36393.254635,0.129920,36393.792259,36393.809412,36393.939333
R245:36393.330740,0.027838,36393.959807,36393.939354,36393.967193
R246:36393.345032,0.140803,36393.995654,36393.967207,36394.108011
R247:36393.423663,0.025050,36393.995654,36394.108032,36394.133083
