R[341],17212.083123s,0.116660s,17212.083210s,17212.116677s
R[342],17212.251312s,0.516639s,17212.251433s,17212.516658s
R[343],17212.295442s,0.061782s,17212.516766s,17212.516767s
R[344],17212.299087s,0.090341s,17212.516789s,17212.516790s
R[345],17212.321532s,0.033077s,17212.516808s,17212.516809s
R[346],17212.441881s,0.086706s,17212.516823s,17212.516824s
R[347],17212.662076s,0.004289s,17212.662193s,17212.662194s
R[348],17212.703918s,0.135519s,17212.704009s,17212.704010s
R[349],17212.849507s,0.095455s,17212.849663s,17212.849665s
R[350],17212.969574s,0.031278s,17212.969655s,17212.969656s
R[351],17213.204175s,0.029477s,17213.204279s,17213.204280s
R[352],17213.343858s,0.017464s,17213.343995s,17213.343996s
R[353],17213.509677s,0.004577s,17213.509800s,17213.509801s
R[354],17213.599172s,0.014260s,17213.599357s,17213.599359s
R[355],17213.609967s,0.012198s,17213.610099s,17213.610100s
R[356],17213.638021s,0.004984s,17213.638213s,17213.638214s
R[357],17213.727044s,0.242465s,17213.727213s,17213.727214s
R[358],17213.947464s,0.216100s,17213.947569s,17213.947570s
R[359],17213.953282s,0.024751s,17213.953369s,17213.953369s
R[360],17214.016629s,0.015411s,17214.016740s,17214.016741s
R[361],17214.105115s,0.053912s,17214.105272s,17214.105274s
R[362],17214.193054s,0.217050s,17214.193210s,17214.217068s
R[363],17214.362181s,0.072739s,17214.362338s,17214.362340s
R[364],17214.437034s,0.021266s,17214.437175s,17214.437177s
R[365],17214.567842s,0.083666s,17214.568000s,17214.568001s
R[366],17214.598582s,0.001399s,17214.598665s,17214.598666s
R[367],17214.675884s,0.035585s,17214.676023s,17214.676024s
R[368],17214.944084s,0.061622s,17214.944206s,17214.944207s
R[369],17214.967180s,0.030581s,17214.967312s,17214.967313s
R[370],17215.018490s,0.086335s,17215.018662s,17215.086353s
R[371],17215.132493s,0.026114s,17215.132598s,17215.132599s
R[372],17215.191131s,0.033734s,17215.191242s,17215.191243s
R[373],17215.312658s,0.118652s,17215.312765s,17215.312766s
R[374],17215.336859s,0.095889s,17215.336937s,17215.336937s
R[375],17215.366741s,0.155427s,17215.366829s,17215.366830s
R[376],17215.368408s,0.076517s,17215.368485s,17215.368486s
R[377],17215.559774s,0.091875s,17215.559895s,17215.559896s
R[378],17215.598617s,0.156990s,17215.598689s,17215.598690s
R[379],17215.673477s,0.024668s,17215.673570s,17215.673570s
R[380],17215.702318s,0.060194s,17215.702434s,17215.702434s
R[381],17215.709971s,0.078769s,17215.710058s,17215.710059s
R[382],17215.930571s,0.143518s,17215.930737s,17215.930738s
R[383],17216.006386s,0.111220s,17216.006552s,17216.111548s
R[384],17216.325780s,0.037183s,17216.325887s,17216.325887s
R[385],17216.367987s,0.002013s,17216.368068s,17216.368068s
R[386],17216.372507s,0.055665s,17216.372579s,17216.372580s
R[387],17216.373042s,0.102658s,17216.373120s,17216.373121s
R[388],17216.407721s,0.059006s,17216.407804s,17216.407805s
R[389],17216.579318s,0.006791s,17216.579428s,17216.579428s
R[390],17216.642391s,0.055081s,17216.642548s,17216.642549s
R[391],17216.663668s,0.003697s,17216.663775s,17216.663776s
R[392],17216.920612s,0.023404s,17216.920771s,17216.920772s
R[393],17216.929513s,0.078733s,17216.929620s,17216.929621s
R[394],17217.053829s,0.271566s,17217.053920s,17217.271584s
R[395],17217.063614s,0.015136s,17217.271617s,17217.271618s
R[396],17217.265719s,0.117988s,17217.271627s,17217.271627s
R[397],17217.330377s,0.000584s,17217.330469s,17217.330469s
R[398],17217.480714s,0.111130s,17217.480818s,17217.480818s
R[399],17217.567195s,0.213201s,17217.567302s,17217.567303s
R[400],17217.703402s,0.129124s,17217.703548s,17217.703549s
R[401],17217.713610s,0.008917s,17217.713694s,17217.713695s
R[402],17218.006334s,0.022795s,17218.006439s,17218.022813s
R[403],17218.038530s,0.008322s,17218.038606s,17218.038607s
R[404],17218.204508s,0.027053s,17218.204664s,17218.204666s
R[405],17218.341923s,0.231335s,17218.342040s,17218.342042s
R[406],17218.361013s,0.008473s,17218.361128s,17218.361129s
R[407],17218.504140s,0.155508s,17218.504267s,17218.504268s
R[408],17218.901115s,0.098263s,17218.901322s,17218.901324s
R[409],17218.943013s,0.047489s,17218.943144s,17218.943145s
R[410],17219.004087s,0.032628s,17219.004277s,17219.032646s
R[411],17219.110333s,0.011603s,17219.110474s,17219.110476s
R[412],17219.202160s,0.039568s,17219.202327s,17219.202329s
R[413],17219.210726s,0.089871s,17219.210856s,17219.210858s
R[414],17219.225513s,0.177164s,17219.225643s,17219.225644s
R[415],17219.237729s,0.019735s,17219.237881s,17219.237882s
R[416],17219.325144s,0.062721s,17219.325284s,17219.325286s
R[417],17219.435577s,0.239051s,17219.435687s,17219.435688s
R[418],17219.473079s,0.010851s,17219.473163s,17219.473163s
R[419],17219.619304s,0.060290s,17219.619417s,17219.619418s
R[420],17219.623254s,0.019809s,17219.623328s,17219.623329s
R[421],17219.674249s,0.014546s,17219.674337s,17219.674337s
R[422],17219.734558s,0.047395s,17219.734659s,17219.734660s
R[423],17219.771456s,0.087434s,17219.771497s,17219.771497s
R[424],17219.772027s,0.051650s,17219.772099s,17219.772099s
R[425],17219.785546s,0.126272s,17219.785629s,17219.785630s
R[426],17219.794374s,0.096180s,17219.794466s,17219.794467s
R[427],17219.948557s,0.168241s,17219.948692s,17219.948693s
R[428],17220.189681s,0.004028s,17220.189782s,17220.189783s
R[429],17220.196202s,0.016247s,17220.196283s,17220.196283s
R[430],17220.271115s,0.009667s,17220.271225s,17220.271226s
R[431],17220.534097s,0.075568s,17220.534261s,17220.534262s
R[432],17220.583299s,0.100425s,17220.583470s,17220.583471s
R[433],17220.685116s,0.043493s,17220.685229s,17220.685229s
R[434],17220.762703s,0.071832s,17220.762802s,17220.762803s
R[435],17220.935591s,0.020890s,17220.935691s,17220.935692s
R[436],17221.190175s,0.039060s,17221.190349s,17221.190351s
R[437],17221.345983s,0.008548s,17221.346095s,17221.346096s
R[438],17221.394146s,0.040826s,17221.394223s,17221.394224s
R[439],17221.559185s,0.226737s,17221.559291s,17221.559292s
R[440],17221.696787s,0.148383s,17221.696904s,17221.696905s
R[441],17221.886080s,0.084035s,17221.886234s,17221.886236s
R[442],17222.011492s,0.081660s,17222.011604s,17222.081678s
R[443],17222.084147s,0.072056s,17222.084238s,17222.084239s
R[444],17222.153990s,0.002493s,17222.154077s,17222.154077s
R[445],17222.265458s,0.076296s,17222.265585s,17222.265586s
R[446],17222.406573s,0.012951s,17222.406697s,17222.406698s
R[447],17222.421608s,0.125202s,17222.421698s,17222.421699s
R[448],17222.443444s,0.110767s,17222.443526s,17222.443527s
R[449],17222.629449s,0.091561s,17222.629571s,17222.629572s
R[450],17222.649851s,0.009298s,17222.649936s,17222.649937s
